location,year,male,female
CHN,1999,69.6,73.1
CHN,2000,70.1,73.5
CHN,2001,70.6,73.8
CHN,2002,71.1,74.2
CHN,2003,71.5,74.6
CHN,2004,71.9,75.0
CHN,2005,72.3,75.3
CHN,2006,72.6,75.7
CHN,2007,72.8,75.9
CHN,2008,73.1,76.2
CHN,2009,73.3,76.4
CHN,2010,73.5,76.6
CHN,2011,73.7,76.8
CHN,2012,73.9,77.0
CHN,2013,74.1,77.2
CHN,2014,74.3,77.3
CHN,2015,74.5,77.5
COL,1960,55.0,58.5
COL,1961,55.6,59.0
COL,1962,56.1,59.5
COL,1963,56.5,60.0
COL,1964,57.0,60.4
COL,1965,57.4,60.8
COL,1966,57.8,61.2
COL,1967,58.1,61.6
COL,1968,58.4,62.0
COL,1969,58.7,62.4
COL,1970,59.0,62.8
COL,1971,59.3,63.2
COL,1972,59.6,63.6
COL,1973,59.9,64.0
COL,1974,60.3,64.4
COL,1975,60.7,64.9
COL,1976,61.1,65.5
COL,1977,61.5,66.1
COL,1978,62.0,66.8
COL,1979,62.4,67.5
COL,1980,62.8,68.3
COL,1981,63.1,69.1
COL,1982,63.5,69.7
COL,1983,63.7,70.3
COL,1984,64.0,70.8
COL,1985,64.2,71.2
COL,1986,64.3,71.4
COL,1987,64.4,71.7
COL,1988,64.4,71.9
COL,1989,64.4,72.1
COL,1990,64.4,72.4
COL,1991,64.5,72.6
COL,1992,64.6,72.9
COL,1993,64.8,73.1
COL,1994,65.1,73.4
COL,1995,65.4,73.6
COL,1996,65.8,73.9
COL,1997,66.2,74.1
COL,1998,66.6,74.3
COL,1999,67.0,74.6
COL,2000,67.3,74.8
COL,2001,67.6,75.1
COL,2002,67.9,75.3
COL,2003,68.2,75.6
COL,2004,68.4,75.8
COL,2005,68.7,76.0
COL,2006,68.9,76.3
COL,2007,69.1,76.5
COL,2008,69.3,76.7
COL,2009,69.5,76.9
COL,2010,69.7,77.0
COL,2011,69.9,77.2
COL,2012,70.1,77.3
COL,2013,70.3,77.5
COL,2014,70.5,77.7
COL,2015,70.7,77.8
CRI,1960,59.2,62.0
CRI,1961,59.9,62.7
CRI,1962,60.6,63.4
CRI,1963,61.3,64.1
CRI,1964,61.9,64.8
CRI,1965,62.4,65.4
CRI,1966,62.9,66.0
CRI,1967,63.4,66.6
CRI,1968,63.8,67.2
CRI,1969,64.2,67.8
CRI,1970,64.7,68.3
CRI,1971,65.1,68.9
CRI,1972,65.5,69.5
CRI,1973,66.0,70.1
CRI,1974,66.5,70.8
CRI,1975,67.0,71.4
CRI,1976,67.5,72.0
CRI,1977,68.0,72.7
CRI,1978,68.6,73.4
CRI,1979,69.1,74.1
CRI,1980,69.6,74.7
CRI,1981,70.2,75.4
CRI,1982,70.6,75.9
CRI,1983,71.1,76.4
CRI,1984,71.5,76.9
CRI,1985,71.8,77.2
CRI,1986,72.1,77.5
CRI,1987,72.4,77.8
CRI,1988,72.7,78.0
CRI,1989,72.9,78.2
CRI,1990,73.1,78.3
CRI,1991,73.3,78.5
CRI,1992,73.5,78.6
CRI,1993,73.7,78.8
CRI,1994,74.0,78.9
CRI,1995,74.2,79.1
CRI,1996,74.4,79.2
CRI,1997,74.6,79.4
CRI,1998,74.8,79.5
CRI,1999,75.0,79.7
CRI,2000,75.1,79.8
CRI,2001,75.3,80.0
CRI,2002,75.4,80.1
CRI,2003,75.6,80.2
CRI,2004,75.7,80.4
CRI,2005,75.8,80.5
CRI,2006,75.9,80.6
